repeat,outer_fold,feature_set,model,n_train,n_test,roc_auc,average_precision,brier,balanced_accuracy,best_params,subject_ids_test
1,4,C_ai_only,random_forest,89,22,0.6352941176470588,0.8617044816006754,0.179408035530854,0.5411764705882353,"{""model__max_depth"": 3, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 500}",sub-0011;sub-0015;sub-0018;sub-0028;sub-0038;sub-0043;sub-0050;sub-0054;sub-0058;sub-0067;sub-0068;sub-0072;sub-0073;sub-0079;sub-0088;sub-0091;sub-0103;sub-0104;sub-0105;sub-0109;sub-0112;sub-0114
1,5,C_ai_only,random_forest,89,22,0.7647058823529411,0.9388314782710158,0.1646882342491725,0.6529411764705882,"{""model__max_depth"": 3, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 500}",sub-0002;sub-0006;sub-0010;sub-0017;sub-0030;sub-0033;sub-0036;sub-0037;sub-0040;sub-0044;sub-0046;sub-0048;sub-0059;sub-0062;sub-0077;sub-0082;sub-0084;sub-0094;sub-0101;sub-0106;sub-0108;sub-0111
1,1,C_ai_only,xgboost,88,23,0.6274509803921569,0.8357629612356716,0.2184312790632248,0.5735294117647058,"{""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__n_estimators"": 100, ""model__subsample"": 0.8}",sub-0004;sub-0008;sub-0012;sub-0020;sub-0021;sub-0023;sub-0025;sub-0026;sub-0032;sub-0035;sub-0042;sub-0060;sub-0064;sub-0071;sub-0076;sub-0080;sub-0087;sub-0090;sub-0093;sub-0096;sub-0100;sub-0102;sub-0110
1,2,C_ai_only,xgboost,89,22,0.6927083333333334,0.8100201116285676,0.2174245715141296,0.7083333333333333,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__n_estimators"": 100, ""model__subsample"": 1.0}",sub-0001;sub-0007;sub-0013;sub-0022;sub-0027;sub-0031;sub-0034;sub-0039;sub-0045;sub-0047;sub-0049;sub-0051;sub-0052;sub-0055;sub-0061;sub-0069;sub-0085;sub-0086;sub-0089;sub-0095;sub-0097;sub-0099
1,3,C_ai_only,xgboost,89,22,0.5529411764705883,0.8621132823145208,0.3355419933795929,0.5352941176470588,"{""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__n_estimators"": 300, ""model__subsample"": 0.8}",sub-0003;sub-0005;sub-0009;sub-0014;sub-0016;sub-0019;sub-0024;sub-0029;sub-0041;sub-0053;sub-0056;sub-0066;sub-0070;sub-0074;sub-0075;sub-0078;sub-0081;sub-0092;sub-0098;sub-0107;sub-0113;sub-0115
1,4,C_ai_only,xgboost,89,22,0.4823529411764705,0.8217908581230381,0.2434255927801132,0.4117647058823529,"{""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__n_estimators"": 300, ""model__subsample"": 1.0}",sub-0011;sub-0015;sub-0018;sub-0028;sub-0038;sub-0043;sub-0050;sub-0054;sub-0058;sub-0067;sub-0068;sub-0072;sub-0073;sub-0079;sub-0088;sub-0091;sub-0103;sub-0104;sub-0105;sub-0109;sub-0112;sub-0114
1,5,C_ai_only,xgboost,89,22,0.7411764705882353,0.9333287869984284,0.1722740978002548,0.7529411764705882,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__n_estimators"": 100, ""model__subsample"": 0.8}",sub-0002;sub-0006;sub-0010;sub-0017;sub-0030;sub-0033;sub-0036;sub-0037;sub-0040;sub-0044;sub-0046;sub-0048;sub-0059;sub-0062;sub-0077;sub-0082;sub-0084;sub-0094;sub-0101;sub-0106;sub-0108;sub-0111
1,1,D_diff_only,lr_en,88,23,0.480392156862745,0.7861291989357282,0.2952687804918791,0.5686274509803921,"{""model__C"": 10.0, ""model__l1_ratio"": 0.5}",sub-0004;sub-0008;sub-0012;sub-0020;sub-0021;sub-0023;sub-0025;sub-0026;sub-0032;sub-0035;sub-0042;sub-0060;sub-0064;sub-0071;sub-0076;sub-0080;sub-0087;sub-0090;sub-0093;sub-0096;sub-0100;sub-0102;sub-0110
1,2,D_diff_only,lr_en,89,22,0.5,0.7272727272727273,0.2492877453686271,0.5,"{""model__C"": 0.01, ""model__l1_ratio"": 0.1}",sub-0001;sub-0007;sub-0013;sub-0022;sub-0027;sub-0031;sub-0034;sub-0039;sub-0045;sub-0047;sub-0049;sub-0051;sub-0052;sub-0055;sub-0061;sub-0069;sub-0085;sub-0086;sub-0089;sub-0095;sub-0097;sub-0099
1,3,D_diff_only,lr_en,89,22,0.5411764705882351,0.8323631004358559,0.3266453031177665,0.4058823529411764,"{""model__C"": 10.0, ""model__l1_ratio"": 0.9}",sub-0003;sub-0005;sub-0009;sub-0014;sub-0016;sub-0019;sub-0024;sub-0029;sub-0041;sub-0053;sub-0056;sub-0066;sub-0070;sub-0074;sub-0075;sub-0078;sub-0081;sub-0092;sub-0098;sub-0107;sub-0113;sub-0115
1,4,D_diff_only,lr_en,89,22,0.5,0.7727272727272727,0.2473735488151365,0.5,"{""model__C"": 0.01, ""model__l1_ratio"": 0.1}",sub-0011;sub-0015;sub-0018;sub-0028;sub-0038;sub-0043;sub-0050;sub-0054;sub-0058;sub-0067;sub-0068;sub-0072;sub-0073;sub-0079;sub-0088;sub-0091;sub-0103;sub-0104;sub-0105;sub-0109;sub-0112;sub-0114
1,5,D_diff_only,lr_en,89,22,0.388235294117647,0.7848443094573125,0.3905414536864027,0.4058823529411764,"{""model__C"": 10.0, ""model__l1_ratio"": 0.9}",sub-0002;sub-0006;sub-0010;sub-0017;sub-0030;sub-0033;sub-0036;sub-0037;sub-0040;sub-0044;sub-0046;sub-0048;sub-0059;sub-0062;sub-0077;sub-0082;sub-0084;sub-0094;sub-0101;sub-0106;sub-0108;sub-0111
1,1,D_diff_only,random_forest,88,23,0.5588235294117647,0.7964977016447605,0.225216342931323,0.5490196078431372,"{""model__max_depth"": 3, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 500}",sub-0004;sub-0008;sub-0012;sub-0020;sub-0021;sub-0023;sub-0025;sub-0026;sub-0032;sub-0035;sub-0042;sub-0060;sub-0064;sub-0071;sub-0076;sub-0080;sub-0087;sub-0090;sub-0093;sub-0096;sub-0100;sub-0102;sub-0110
1,2,D_diff_only,random_forest,89,22,0.6770833333333333,0.818331494893995,0.2028471088727387,0.6041666666666666,"{""model__max_depth"": 3, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 500}",sub-0001;sub-0007;sub-0013;sub-0022;sub-0027;sub-0031;sub-0034;sub-0039;sub-0045;sub-0047;sub-0049;sub-0051;sub-0052;sub-0055;sub-0061;sub-0069;sub-0085;sub-0086;sub-0089;sub-0095;sub-0097;sub-0099
1,3,D_diff_only,random_forest,89,22,0.5588235294117647,0.8545616835864515,0.2239625,0.4529411764705883,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200}",sub-0003;sub-0005;sub-0009;sub-0014;sub-0016;sub-0019;sub-0024;sub-0029;sub-0041;sub-0053;sub-0056;sub-0066;sub-0070;sub-0074;sub-0075;sub-0078;sub-0081;sub-0092;sub-0098;sub-0107;sub-0113;sub-0115
1,4,D_diff_only,random_forest,89,22,0.611764705882353,0.8714689388496528,0.1809137594275081,0.5,"{""model__max_depth"": 5, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 200}",sub-0011;sub-0015;sub-0018;sub-0028;sub-0038;sub-0043;sub-0050;sub-0054;sub-0058;sub-0067;sub-0068;sub-0072;sub-0073;sub-0079;sub-0088;sub-0091;sub-0103;sub-0104;sub-0105;sub-0109;sub-0112;sub-0114
1,5,D_diff_only,random_forest,89,22,0.6941176470588235,0.9186229046454872,0.1822271277245208,0.5411764705882353,"{""model__max_depth"": 5, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 500}",sub-0002;sub-0006;sub-0010;sub-0017;sub-0030;sub-0033;sub-0036;sub-0037;sub-0040;sub-0044;sub-0046;sub-0048;sub-0059;sub-0062;sub-0077;sub-0082;sub-0084;sub-0094;sub-0101;sub-0106;sub-0108;sub-0111
1,1,D_diff_only,xgboost,88,23,0.5,0.7204471940691485,0.2387512624263763,0.4656862745098039,"{""model__learning_rate"": 0.1, ""model__max_depth"": 2, ""model__n_estimators"": 300, ""model__subsample"": 0.8}",sub-0004;sub-0008;sub-0012;sub-0020;sub-0021;sub-0023;sub-0025;sub-0026;sub-0032;sub-0035;sub-0042;sub-0060;sub-0064;sub-0071;sub-0076;sub-0080;sub-0087;sub-0090;sub-0093;sub-0096;sub-0100;sub-0102;sub-0110
1,2,D_diff_only,xgboost,89,22,0.625,0.8322421349075761,0.2054332792758941,0.40625,"{""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__n_estimators"": 100, ""model__subsample"": 0.8}",sub-0001;sub-0007;sub-0013;sub-0022;sub-0027;sub-0031;sub-0034;sub-0039;sub-0045;sub-0047;sub-0049;sub-0051;sub-0052;sub-0055;sub-0061;sub-0069;sub-0085;sub-0086;sub-0089;sub-0095;sub-0097;sub-0099
